Дата торгов,BR,SBER,SNGS,Si
2018-02-20,65.24,266.46,28.34,56782.0
2018-02-21,65.09,273.16,28.695,56753.0
2018-02-22,65.24,277.27,28.99,56833.0
2018-02-26,66.67,282.05,29.395,56166.0
2018-02-27,67.44,278.69,29.215,55982.0
2018-02-28,66.61,274.55,28.805,56372.0
2018-03-01,65.78,274.29,28.455,56740.0
2018-03-02,63.74,271.35,28.235,57002.0
2018-03-05,64.4,276.84,28.5,57140.0
2018-03-06,65.63,277.44,28.645,56561.0
2018-03-07,65.39,272.69,28.215,56882.0
2018-03-09,64.39,272.51,28.5,56930.0
2018-03-12,64.99,275.26,28.98,56794.0
2018-03-13,64.78,274.12,29.235,56884.0
2018-03-14,64.68,267.79,29.135,56994.0
2018-03-15,64.92,259.34,29.23,57068.0
2018-03-16,65.23,254.43,29.295,58163.0
2018-03-19,65.96,255.21,29.175,58329.0
2018-03-20,66.71,254.09,29.12,58294.0
2018-03-21,68.05,264.9,29.11,58022.0
2018-03-22,69.12,267.65,28.87,57582.0
2018-03-23,69.46,262.11,28.695,57691.0
2018-03-26,70.17,260.1,28.395,57682.0
2018-03-27,70.34,256.2,28.455,57793.0
2018-03-28,69.78,252.77,28.38,58153.0
2018-03-29,69.45,253.9,28.41,58182.0
2018-03-30,70.19,253.8,28.585,57871.0
2018-04-02,70.32,254.84,28.54,57890.0
2018-04-03,67.94,249.09,28.305,58103.0
2018-04-04,67.4,252.3,28.355,58252.0
2018-04-05,68.16,259.87,28.69,58125.0
2018-04-06,68.0,259.4,28.835,58376.0
2018-04-09,67.72,225.44,28.035,60047.0
2018-04-10,69.71,210.24,28.95,62980.0
2018-04-11,71.57,212.85,29.71,64782.0
2018-04-12,71.81,213.43,29.46,62615.0
2018-04-13,72.19,210.19,29.245,62284.0
2018-04-16,71.88,197.98,28.98,62665.0
2018-04-17,71.38,203.8,29.095,61952.0
2018-04-18,72.43,214.96,29.46,61979.0
2018-04-19,73.98,217.62,29.38,61408.0
2018-04-20,73.51,214.33,29.385,61788.0
2018-04-23,73.68,218.84,29.255,62258.0
2018-04-24,74.82,225.17,29.15,62045.0
2018-04-25,73.85,220.75,29.0,62411.0
2018-04-26,74.34,219.32,29.525,63140.0
2018-04-27,74.59,221.65,29.745,62857.0
2018-04-28,74.67,223.71,29.5,62460.0
2018-04-30,74.18,225.26,29.705,63119.0
2018-05-02,75.18,227.47,29.5,64013.0
2018-05-03,73.09,230.74,29.415,63902.0
2018-05-04,73.76,228.26,29.38,63452.0
2018-05-07,75.51,230.67,29.425,63097.0
2018-05-08,75.07,226.45,29.41,63553.0
2018-05-10,76.06,231.58,29.585,62658.0
2018-05-11,77.3,236.16,29.645,61956.0
2018-05-14,77.4,235.89,29.66,62038.0
2018-05-15,78.55,233.48,29.965,62492.0
2018-05-16,78.19,229.4,29.78,62605.0
2018-05-17,79.56,228.24,29.865,62131.0
2018-05-18,79.49,225.44,29.665,62519.0
2018-05-21,78.58,225.29,29.765,62433.0
2018-05-22,79.73,225.45,29.64,61524.0
2018-05-23,79.12,222.2,29.59,61757.0
2018-05-24,79.11,222.16,29.24,61662.0
2018-05-25,77.46,221.04,29.13,62075.0
2018-05-28,75.7,220.51,28.99,62525.0
2018-05-29,75.6,218.89,28.585,62773.0
2018-05-30,75.99,220.0,28.645,62614.0
2018-05-31,77.56,222.34,28.59,62280.0
2018-06-01,77.63,220.87,28.81,62341.0
2018-06-04,76.24,220.66,29.16,62101.0
2018-06-05,74.66,217.49,29.005,62310.0
2018-06-06,75.16,216.62,28.805,62128.0
2018-06-07,76.07,218.25,29.085,62122.0
2018-06-08,76.79,213.63,28.73,62656.0
2018-06-09,76.57,212.58,28.555,62489.0
2018-06-11,76.13,210.85,28.68,62510.0
2018-06-13,75.97,213.21,28.77,62848.0
2018-06-14,76.49,215.44,28.965,62299.0
2018-06-15,74.79,210.15,28.495,62826.0
2018-06-18,73.93,207.93,28.405,63430.0
2018-06-19,74.92,203.83,28.49,63959.0
2018-06-20,75.27,210.79,29.18,63610.0
2018-06-21,73.86,211.37,28.995,63732.0
2018-06-22,74.28,212.56,28.455,63738.0
2018-06-25,74.6,204.57,28.38,63468.0
2018-06-26,74.91,201.29,28.415,63587.0
2018-06-27,76.85,204.38,28.52,63719.0
2018-06-28,77.76,209.08,28.345,63698.0
2018-06-29,78.61,215.29,28.455,63291.0
2018-07-02,79.44,220.09,28.605,63668.0
2018-07-03,77.76,219.44,28.295,63782.0
2018-07-04,77.74,218.03,28.07,63753.0
2018-07-05,78.01,221.95,28.3,63623.0
2018-07-06,77.09,224.75,28.41,63568.0
2018-07-09,77.61,229.94,28.76,63246.0
2018-07-10,78.8,230.15,29.1,62853.0
2018-07-11,77.44,226.74,28.91,62420.0
2018-07-12,74.26,226.76,28.45,62590.0
2018-07-13,74.31,229.03,28.7,62674.0
2018-07-16,73.91,228.94,29.03,62769.0
2018-07-17,71.95,222.83,28.605,62887.0
2018-07-18,71.86,218.9,28.435,63399.0
2018-07-19,72.81,210.45,28.575,63797.0
2018-07-20,72.78,205.76,28.435,63897.0
2018-07-23,73.64,208.81,28.41,63551.0
2018-07-24,73.18,212.79,28.275,63227.0
2018-07-25,73.76,212.13,28.24,63456.0
2018-07-26,74.23,212.02,28.44,63336.0
2018-07-27,74.51,208.35,28.43,63239.0
2018-07-30,74.57,210.52,28.9,62908.0
2018-07-31,74.71,213.12,28.955,62743.0
2018-08-01,74.25,212.49,29.13,63045.0
2018-08-02,72.48,208.15,29.01,63602.0
2018-08-03,73.39,203.3,29.09,63681.0
2018-08-06,73.7,203.18,28.99,63890.0
2018-08-07,74.35,205.04,28.97,63818.0
2018-08-08,73.71,195.62,28.835,64689.0
2018-08-09,72.27,188.9,28.84,66302.0
2018-08-10,72.27,190.31,28.86,67353.0
2018-08-13,72.7,188.64,28.66,68214.0
2018-08-14,72.78,191.64,28.57,67178.0
2018-08-15,71.57,189.46,28.265,67270.0
2018-08-16,70.95,190.26,27.89,67218.0
2018-08-17,71.81,190.32,27.815,67515.0
2018-08-20,72.07,192.14,27.805,67398.0
2018-08-21,72.43,190.88,27.705,67537.0
2018-08-22,73.63,190.56,28.165,67922.0
2018-08-23,74.57,183.33,28.335,68441.0
2018-08-24,75.63,176.02,28.135,67866.0
2018-08-27,75.78,182.45,28.105,67409.0
2018-08-28,76.45,183.04,28.23,67671.0
2018-08-29,76.19,182.83,28.535,68239.0
2018-08-30,77.39,181.33,28.705,68244.0
2018-08-31,77.52,179.31,28.545,68011.0
2018-09-03,77.45,181.43,28.73,68008.0
2018-09-04,78.77,179.96,28.77,68379.0
2018-09-05,77.54,179.75,28.275,68457.0
2018-09-06,77.19,177.93,28.05,68885.0
2018-09-07,76.32,175.44,27.775,69383.0
2018-09-10,77.23,171.89,27.765,70154.0
2018-09-11,77.93,168.87,27.75,70103.0
2018-09-12,79.38,172.89,27.78,69351.0
2018-09-13,78.89,183.25,27.65,68569.0
2018-09-14,78.15,186.16,27.53,68059.0
2018-09-17,78.42,188.85,27.51,68147.0
2018-09-18,78.64,190.62,27.555,67671.0
2018-09-19,78.98,192.68,27.565,66986.0
2018-09-20,79.18,194.79,27.75,66512.0
2018-09-21,79.14,192.22,27.295,67105.0
2018-09-24,80.24,197.11,27.345,66612.0
2018-09-25,81.81,197.83,27.235,66346.0
2018-09-26,81.64,195.32,27.395,66474.0
2018-09-27,81.78,200.21,27.815,66357.0
2018-09-28,82.15,202.67,27.695,66165.0
2018-10-01,82.74,203.6,27.71,66100.0
2018-10-02,84.74,202.12,27.71,65868.0
2018-10-03,84.86,199.88,27.82,66115.0
2018-10-04,85.92,193.12,27.53,66984.0
2018-10-05,84.6,188.14,27.395,67215.0
2018-10-08,83.46,187.27,27.475,67382.0
2018-10-09,84.35,192.52,27.39,67124.0
2018-10-10,84.41,191.6,27.145,66814.0
2018-10-11,81.9,184.75,26.965,67073.0
2018-10-12,80.65,189.68,27.13,66588.0
2018-10-15,80.46,191.48,27.0,66204.0
2018-10-16,80.38,192.36,27.095,65955.0
2018-10-17,80.72,195.38,27.15,65969.0
2018-10-18,79.52,192.27,27.21,66118.0
2018-10-19,79.91,187.59,27.375,66152.0
2018-10-22,79.77,183.82,27.21,65737.0
2018-10-23,78.5,179.6,26.735,65843.0
2018-10-24,76.27,185.67,26.725,65905.0
2018-10-25,76.43,186.15,26.375,66107.0
2018-10-26,76.51,181.05,26.315,66180.0
2018-10-29,77.33,183.83,26.43,66084.0
2018-10-30,76.41,184.19,26.205,66132.0
2018-10-31,76.08,186.9,26.48,66125.0
2018-11-01,75.52,188.94,26.415,66070.0
2018-11-02,72.89,191.5,26.59,66189.0
2018-11-06,72.74,196.15,27.07,66337.0
2018-11-07,72.43,199.7,27.195,66380.0
2018-11-08,72.07,202.52,27.36,66683.0
2018-11-09,70.35,198.41,27.17,67461.0
2018-11-12,70.95,199.18,27.215,67981.0
2018-11-13,69.01,197.1,27.07,68074.0
2018-11-14,66.3,196.89,26.965,67988.0
2018-11-15,66.52,200.79,27.085,66971.0
2018-11-16,67.48,201.15,27.18,66283.0
2018-11-19,66.65,199.01,27.19,66220.0
2018-11-20,65.61,194.95,27.08,66012.0
2018-11-21,63.17,195.79,27.025,66210.0
2018-11-22,63.43,198.24,27.13,65816.0
2018-11-23,60.81,196.74,27.075,66106.0
2018-11-26,59.87,190.95,26.735,66984.0
2018-11-27,60.55,190.4,26.71,67054.0
2018-11-28,60.06,191.14,26.845,67454.0
2018-11-29,59.11,193.89,27.125,66808.0
2018-11-30,59.33,192.75,27.275,66813.0
2018-12-03,58.68,200.27,27.775,66739.0
2018-12-04,62.28,198.75,27.935,66602.0
2018-12-05,61.9,195.58,27.875,66904.0
2018-12-06,60.57,192.05,28.1,67020.0
2018-12-07,60.81,194.25,28.355,66719.0
2018-12-10,61.63,192.37,28.13,66462.0
2018-12-11,60.43,192.04,28.045,66538.0
2018-12-12,60.81,191.91,27.955,66453.0
2018-12-13,60.29,189.98,27.895,66391.0
2018-12-14,61.03,185.69,27.95,66559.0
2018-12-17,60.44,184.58,28.13,66641.0
2018-12-18,58.73,182.73,27.73,66839.0
2018-12-19,56.85,186.85,27.68,67368.0
2018-12-20,56.2,189.35,27.345,67344.0
2018-12-21,54.13,187.13,26.92,69104.0
2018-12-24,53.76,184.79,26.645,69275.0
